cibil__user,overdue_amount_ongoing,overdue_number_ongoing,funded_amount_ongoing,highest_fundamt_ongoing,total_loans_ongoing,total_emi_ongoing,total_current_due_ongoing,settle_12month
116457,151303.0,9.0,1973826.0,1093802.0,17.0,36996.0,2216310.0,1.0
116462,28163.0,5.0,1532068.0,376000.0,34.0,25532.0,1539909.0,0.0
116466,14552.0,1.0,452000.0,179000.0,5.0,13391.0,331797.0,0.0
116469,111085.0,7.0,2917345.0,950000.0,20.0,81706.0,2156224.0,0.0
116473,2539.0,1.0,64000.0,64000.0,2.0,0.0,31210.0,0.0
116474,28783.0,9.0,268534.0,200000.0,10.0,13659.0,298168.0,2.0
116478,215713.0,1.0,216800.0,216800.0,2.0,0.0,233501.0,1.0
116479,0.0,0.0,210671.0,100000.0,9.0,9102.0,210191.0,0.0
116481,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
116482,381105.0,1.0,610000.0,610000.0,2.0,14115.0,690258.0,1.0
116486,1226.0,1.0,1320160.0,400000.0,14.0,27791.0,557746.0,0.0
116494,2055.0,1.0,358678.0,218000.0,13.0,0.0,401742.0,0.0
